X,A* DH=6,A* cache ES
0,7.0,78.0
1,8.0,79.0
2,13.0,81.0
3,14.0,82.0
4,15.0,82.0
5,15.0,83.0
6,16.0,86.0
7,18.0,88.0
8,19.0,89.0
9,22.0,92.0
10,29.0,93.0
11,32.0,94.0
12,33.0,95.0
13,34.0,95.0
14,36.0,101.0
15,40.0,101.0
16,41.0,106.0
17,49.0,106.0
18,52.0,106.0
19,75.0,106.0
20,80.0,108.0
21,81.0,109.0
22,92.0,110.0
23,97.0,113.0
24,115.0,114.0
25,124.0,115.0
26,126.0,116.0
27,128.0,118.0
28,130.0,121.0
29,137.0,124.0
30,140.0,126.0
31,141.0,130.0
32,147.0,130.0
33,153.0,131.0
34,157.0,138.0
35,161.0,140.0
36,164.0,141.0
37,165.0,145.0
38,167.0,148.0
39,168.0,154.0
40,169.0,158.0
41,169.0,162.0
42,172.0,163.0
43,189.0,165.0
44,198.0,166.0
45,199.0,168.0
46,201.0,169.0
47,207.0,173.0
48,208.0,173.0
49,209.0,174.0
50,212.0,176.0
51,220.0,179.0
52,224.0,180.0
53,228.0,184.0
54,229.0,185.0
55,234.0,188.0
56,235.0,191.0
57,235.0,199.0
58,236.0,199.0
59,244.0,200.0
60,248.0,201.0
61,255.0,205.0
62,255.0,208.0
63,259.0,209.0
64,261.0,210.0
65,261.0,212.0
66,267.0,213.0
67,267.0,214.0
68,268.0,214.0
69,272.0,215.0
70,273.0,215.0
71,275.0,215.0
72,276.0,215.0
73,293.0,225.0
74,293.0,230.0
75,294.0,234.0
76,299.0,234.0
77,300.0,236.0
78,305.0,236.0
79,305.0,241.0
80,306.0,241.0
81,306.0,242.0
82,307.0,244.0
83,307.0,244.0
84,308.0,246.0
85,310.0,246.0
86,311.0,246.0
87,314.0,247.0
88,314.0,248.0
89,317.0,248.0
90,318.0,249.0
91,320.0,251.0
92,322.0,251.0
93,323.0,252.0
94,324.0,257.0
95,324.0,261.0
96,324.0,263.0
97,337.0,266.0
98,345.0,267.0
99,345.0,269.0
100,348.0,270.0
101,353.0,270.0
102,353.0,271.0
103,354.0,272.0
104,357.0,275.0
105,365.0,276.0
106,366.0,278.0
